city_name;postal_code;area_sqm;population;category
Amberg;92224;50.13;41994;smaller
Laatzen;30880;34.16;41965;smaller
Monheim am Rhein;40789;45069;41913;smaller
Dreieich;63303;53.27;41811;smaller
Eisenach;99817;104.17;41806;smaller
Ansbach;91522;99.91;41662;smaller
Siegburg;53721;23.66;41660;smaller
Homburg;66424;82.61;41612;smaller
Wunstorf;31515;125.74;41481;smaller
Schwabach;91126;40.8;41146;smaller
Schwäbisch Hall;74523;104.19;41141;smaller
Eberswalde;16225;93.62;41103;smaller
Königswinter;53639;76.2;41065;smaller
Coburg;96450;48.29;40955;smaller
Kirchheim unter Teck;73230;40.47;40954;smaller
Nürtingen;72622;46.88;40885;smaller
Hückelhoven;41836;61.27;40712;smaller
Bensheim;64625;57.83;40629;smaller
Nordhausen;99734;108.25;40563;smaller
Germering;82110;21.61;40461;smaller
Lemgo;32657;100.85;40345;smaller
Neumarkt i.d.OPf.;92305;79.01;40274;smaller
Buchholz in der Nordheide;21244;74.76;40164;smaller
Buxtehude;21614;76.69;40139;smaller
Leinfelden-Echterdingen;70771;29.89;40100;smaller
Pirmasens;66953;61.35;40054;smaller
Löhne;32584;59.51;39977;smaller
Weißenfels;06667;113.57;39745;smaller
Freiberg;09599;48.31;39721;smaller
Hofheim am Taunus;65719;57.43;39704;smaller
Ahaus;48683;151.24;39658;smaller
Schorndorf;73614;56.83;39642;smaller
Völklingen;66333;67.1;39428;smaller
Ostfildern;73760;22.81;39376;smaller
Freital;01705;40.46;39316;smaller
Maintal;63477;32.41;39287;smaller
Ettlingen;76275;56.75;39278;smaller
Mettmann;40822;42.56;38808;smaller
Niederkassel;53859;35.79;38694;smaller
Halberstadt;38820;142.97;38682;smaller
Langen (Hessen);63225;45289;38651;smaller
Neu-Isenburg;63263;24.29;38532;smaller
Ilmenau;98693;198.69;38521;smaller
Würselen;52146;34.39;38480;smaller
Pirna;01796;53.06;38361;smaller
Stendal;39576;268.26;38359;smaller
Königs Wusterhausen;15711;96.04;38283;smaller
Papenburg;26871;118.44;37885;smaller
Kamp-Lintfort;47475;63.14;37847;smaller
Bautzen / Budyšin;02625;66.67;37838;smaller
Haltern am See;45721;159.12;37808;smaller
Greven;48268;140.26;37700;smaller
Wesseling;50389;23.37;37519;smaller
Backnang;71522;39.38;37460;smaller
Kehl;77694;75.07;37378;smaller
Warendorf;48231;176.88;37146;smaller
Fürstenfeldbruck;82256;32.52;37063;smaller
Bitterfeld-Wolfen;06766;86.99;37047;smaller
Beckum;59269;111.46;36737;smaller
Tuttlingen;78532;90.45;36672;smaller
Erding;85435;54.61;36414;smaller
Coesfeld;48653;141.36;36382;smaller
Cloppenburg;49661;70.86;36183;smaller
Suhl;98527;141.62;36054;smaller
Emsdetten;48282;72.06;35927;smaller
